R,G,B
132.4450192,138.8638546,140.289329
122.5290853,143.0717092,161.3580613
156.7304884,162.0239001,161.3160126
134.2919546,125.3450397,138.1998388
140.8394301,106.0572062,90.73877493
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
130.8245524,129.6204794,120.3559906
85.92617258,93.25894644,105.1008823
121.0532206,127.2578652,99.87309427
113.3736356,139.1648475,142.0298351
113.3827972,114.8763624,117.7714857
132.4450192,138.8638546,140.289329
122.5290853,143.0717092,161.3580613
156.7304884,162.0239001,161.3160126
134.2919546,125.3450397,138.1998388
140.8394301,106.0572062,90.73877493
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
102.5360138,85.29395345,78.86162664
150.0558488,147.9894581,143.0942786
133.1673556,129.6422996,124.2049354
152.2993491,147.1222452,138.2075612
108.111607,101.9819329,97.60787166
142.128518,136.5255732,128.7018136
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
132.9764535,140.384568,141.6582503
116.9563772,135.7159932,160.2672865
105.2541233,114.7743914,90.85452286
134.5247548,102.2602747,99.46543738
122.7513672,124.8704858,111.6807138
123.4353722,122.9453334,122.9784496
151.6731488,131.1178743,106.6769525
110.9965845,111.3156925,109.2588897
123.9339652,122.2371809,120.1591718
133.6551304,127.7677675,124.0336035
111.9164943,101.1473622,92.09184943
145.594855,142.8013983,137.4637027
130.3711452,140.6202022,103.4022178
142.3461205,145.350741,140.7398435
112.3594028,93.39032091,76.79254899
173.8133609,126.5541781,93.72933884
79.8472882,114.7781818,68.68282866
127.1625419,130.2731706,122.2803546
118.2907226,99.60452534,83.90852371
155.2639844,117.5119087,56.97883949
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
121.7042179,140.4595411,159.6761255
112.3067864,113.092466,112.3683495
100.647424,109.4954018,85.06597909
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
