R,G,B,Lat,Lon,cluster
88,86,83,1.438243613,103.7016668,1
100,110,107,1.438243613,103.7016668,3
110,118,84,1.438243613,103.7016668,3
89,92,95,1.438243613,103.7016668,3
104,105,89,1.438243613,103.7016668,3
110,109,83,1.438243613,103.7016668,3
156,159,144,1.438243613,103.7016668,6
112,117,103,1.438243613,103.7016668,3
86,87,67,1.438243613,103.7016668,1
122,124,115,1.438243613,103.7016668,7
121,127,108,1.438243613,103.7016668,7
