R,G,B,Lat,Lon
0,0,0,1.276585462,103.6176667
0,0,0,1.276585462,103.6316667
0,0,0,1.276585462,103.6456667
0,0,0,1.276585462,103.6596667
120.2,120.1,119.6,1.276585462,103.6736667
0,0,0,1.276585462,103.6876668
0,0,0,1.276585462,103.7016668
0,0,0,1.276585462,103.7156668
0,0,0,1.276585462,103.7296668
0,0,0,1.276585462,103.7576668
0,0,0,1.276585462,103.7716668
0,0,0,1.276585462,103.7856668
0,0,0,1.276585462,103.7996668
0,0,0,1.276585462,103.8136668
0,0,0,1.276585462,103.8276668
0,0,0,1.276585462,103.8416668
0,0,0,1.276585462,103.8556668
0,0,0,1.276585462,103.8696668
0,0,0,1.280626916,103.6106667
0,0,0,1.280626916,103.6246667
0,0,0,1.280626916,103.6386667
0,0,0,1.280626916,103.6526667
0,0,0,1.280626916,103.6666667
120.2,120.1,119.6,1.280626916,103.6806667
0,0,0,1.280626916,103.6946668
0,0,0,1.280626916,103.7086668
0,0,0,1.280626916,103.7226668
0,0,0,1.280626916,103.7366668
0,0,0,1.280626916,103.7506668
0,0,0,1.280626916,103.7646668
0,0,0,1.280626916,103.7786668
0,0,0,1.280626916,103.7926668
0,0,0,1.280626916,103.8066668
0,0,0,1.280626916,103.8206668
0,0,0,1.280626916,103.8346668
0,0,0,1.280626916,103.8486668
0,0,0,1.280626916,103.8626668
0,0,0,1.280626916,103.8766668
0,0,0,1.28466837,103.6176667
0,0,0,1.28466837,103.6316667
0,0,0,1.28466837,103.6456667
0,0,0,1.28466837,103.6736667
0,0,0,1.28466837,103.6876668
0,0,0,1.28466837,103.7016668
0,0,0,1.28466837,103.7156668
0,0,0,1.28466837,103.7296668
0,0,0,1.28466837,103.7576668
0,0,0,1.28466837,103.7716668
0,0,0,1.28466837,103.7856668
0,0,0,1.28466837,103.7996668
0,0,0,1.28466837,103.8136668
0,0,0,1.28466837,103.8276668
0,0,0,1.28466837,103.8416668
0,0,0,1.28466837,103.8556668
0,0,0,1.28466837,103.8696668
0,0,0,1.28466837,103.8836668
127.5,132.6,133.3,1.288709824,103.6246667
0,0,0,1.288709824,103.6386667
0,0,0,1.288709824,103.6526667
0,0,0,1.288709824,103.6666667
0,0,0,1.288709824,103.6806667
0,0,0,1.288709824,103.6946668
0,0,0,1.288709824,103.7086668
0,0,0,1.288709824,103.7226668
0,0,0,1.288709824,103.7506668
